Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,@,HOU,L,1,3,9,38,30,1,6,1,0,0,1,0,0,6,7,0.2,0.342,0.233,0.575,7,1,1,0,1,0,0,0.25,10,11,Framber Valdez,L,71,13
2,2,3/28/2025,@,HOU,W,3,1,9,34,30,3,5,2,0,1,3,0,1,3,11,0.183,0.306,0.283,0.589,10,2,1,0,0,0,0,0.222,4,10,Hunter Brown,R,58,11
3,3,3/29/2025,@,HOU,L,1,2,9,32,28,1,1,1,0,0,1,2,0,4,9,0.136,0.26,0.216,0.476,2,0,0,0,0,0,0,0.053,4,12,Spencer Arrighetti,R,69,8
4,4,3/31/2025,@,MIA,W,10,4,9,41,36,10,11,3,0,4,10,0,0,3,4,0.185,0.297,0.363,0.659,26,2,2,0,0,0,0,0.25,4,11,Cal Quantrill,R,23,29
5,5,4/1/2025,@,MIA,L,2,4,9,33,32,2,5,1,0,1,2,1,0,1,6,0.179,0.275,0.346,0.621,9,0,0,0,0,0,0,0.16,4,10,Sandy Alcantara,R,57,11
6,6,4/2/2025,@,MIA,W,6,5,11,44,41,6,9,3,0,1,5,0,0,3,9,0.188,0.275,0.35,0.625,15,2,0,0,0,0,0,0.258,7,11,Connor Gillispie,R,61,16
7,7,4/4/2025,,TOR,W,5,0,9,31,26,5,4,3,0,1,5,2,0,4,1,0.184,0.273,0.354,0.627,10,0,0,0,1,0,1,0.12,2,9,Kevin Gausman,R,50,17
8,8,4/5/2025,,TOR,W,3,2,9,37,33,3,8,2,2,0,3,0,0,3,11,0.191,0.276,0.363,0.639,14,0,0,0,1,0,0,0.348,8,11,Chris Bassitt,R,75,17
9,9,4/6/2025,,TOR,W,2,1,9,33,28,2,7,1,0,0,2,0,0,3,9,0.197,0.282,0.356,0.637,8,2,1,0,1,0,0,0.35,7,11,Bowden Francis,R,52,10
10,10,4/7/2025,,MIA,W,2,0,9,36,31,2,9,2,0,0,2,1,1,5,5,0.206,0.292,0.356,0.648,11,1,0,0,0,0,0,0.346,10,11,Valente Bellozo,R,47,15
11,11,4/8/2025,,MIA,W,10,5,9,44,38,10,13,3,0,1,10,2,0,4,4,0.221,0.305,0.371,0.676,19,0,1,0,1,1,1,0.353,10,11,Connor Gillispie,R,49,27
12,12,4/9/2025,,MIA,L,0,5,9,30,28,0,2,0,0,0,0,0,0,2,5,0.21,0.293,0.349,0.642,2,1,0,0,0,0,0,0.087,3,9,Max Meyer,R,71,3
13,13,4/11/2025,@,ATH,W,7,6,9,44,37,7,9,4,0,2,7,1,0,5,12,0.213,0.298,0.364,0.661,19,0,1,0,1,2,0,0.292,10,9,JP Sears,L,44,26
14,14,4/12/2025,@,ATH,L,1,3,9,36,33,1,6,0,0,1,1,0,0,3,10,0.211,0.294,0.357,0.651,9,0,0,0,0,0,0,0.227,8,12,J.T. Ginn,R,58,12
15,15,4/13/2025,@,ATH,W,8,0,9,46,38,8,11,4,2,0,6,0,0,7,7,0.217,0.304,0.368,0.672,19,2,1,0,0,1,1,0.355,11,9,Luis Severino,R,60,26
16,16,4/14/2025,@,MIN,W,5,1,9,37,34,5,7,3,0,1,4,1,0,3,11,0.216,0.302,0.369,0.671,13,1,0,0,0,1,0,0.273,5,9,Joe Ryan,R,63,16
17,17,4/15/2025,@,MIN,L,3,6,9,37,34,3,7,2,0,2,3,0,0,1,7,0.215,0.299,0.373,0.672,15,0,1,0,1,1,0,0.192,7,10,Bailey Ober,R,56,17
18,18,4/16/2025,@,MIN,L,3,4,10,41,37,3,10,3,0,0,3,1,0,3,11,0.219,0.301,0.372,0.673,13,2,1,0,0,0,0,0.385,9,10,David Festa,R,58,16
19,19,4/17/2025,,STL,W,4,1,9,31,30,4,8,2,0,1,3,0,0,1,2,0.221,0.301,0.375,0.676,13,1,0,0,0,0,0,0.259,3,10,Andre Pallante,R,44,13
20,20,4/18/2025,,STL,W,5,4,9,37,33,5,9,2,2,2,5,2,0,4,2,0.224,0.303,0.388,0.691,21,0,0,0,0,0,0,0.241,8,11,Miles Mikolas,R,45,27
21,21,4/19/2025,,STL,W,3,0,9,33,32,3,8,2,0,1,3,2,0,1,7,0.225,0.302,0.389,0.691,13,0,0,0,0,0,0,0.292,6,10,Matthew Liberatore,L,59,16
22,22,4/20/2025,,STL,W,7,4,9,39,34,7,11,3,0,1,7,1,0,3,10,0.23,0.305,0.394,0.699,17,0,0,0,1,0,0,0.417,8,10,Sonny Gray,R,53,21
23,23,4/21/2025,,PHI,W,5,4,9,32,30,5,8,0,0,3,5,0,0,2,9,0.231,0.305,0.401,0.706,17,1,0,0,0,0,0,0.278,3,10,Aaron Nola,R,47,18
24,24,4/22/2025,,PHI,W,5,1,9,39,32,5,9,2,0,0,5,1,1,6,7,0.233,0.31,0.399,0.709,11,0,1,0,0,0,1,0.36,10,10,Cristopher Sánchez,L,40,19
25,25,4/23/2025,,PHI,W,4,3,10,42,39,4,10,2,0,1,4,0,0,3,14,0.234,0.31,0.398,0.708,15,0,0,0,0,0,1,0.375,10,12,Zack Wheeler,R,61,19
26,26,4/25/2025,@,WSN,L,4,5,9,36,34,4,8,0,1,0,4,0,0,2,4,0.234,0.309,0.394,0.703,10,0,0,0,0,1,0,0.267,5,9,Jake Irvin,R,67,12
27,27,4/26/2025,@,WSN,W,2,0,9,34,33,2,8,0,0,1,2,0,1,1,9,0.235,0.307,0.392,0.699,11,1,0,0,0,0,0,0.304,5,10,Brad Lord,R,47,10
28,28,4/27/2025,@,WSN,L,7,8,9,42,32,7,9,2,0,0,6,0,0,5,4,0.236,0.311,0.39,0.701,11,2,3,0,2,0,0,0.3,8,9,Mitchell Parker,L,22,17
29,29,4/28/2025,@,WSN,W,19,5,9,56,47,19,21,3,1,4,19,0,0,6,9,0.246,0.322,0.41,0.732,38,0,2,0,1,0,0,0.486,10,11,Trevor Williams,R,41,46
30,30,4/29/2025,,ARI,W,8,3,9,35,32,8,9,1,0,3,8,1,0,3,4,0.248,0.322,0.416,0.739,19,1,0,0,0,0,0,0.24,3,9,Eduardo Rodríguez,L,12,22
31,31,4/30/2025,,ARI,L,3,4,9,43,33,3,7,1,0,2,3,1,0,9,6,0.246,0.325,0.416,0.742,14,1,1,0,0,0,1,0.2,13,12,Corbin Burnes,R,58,25
32,32,5/1/2025,,ARI,L,2,4,9,36,32,2,5,1,0,2,2,0,0,4,13,0.244,0.323,0.415,0.738,12,0,0,0,0,0,0,0.176,7,9,Zac Gallen,R,69,16
33,33,5/2/2025,@,STL,W,9,3,9,46,40,9,17,3,0,2,8,0,1,4,8,0.25,0.329,0.424,0.752,26,2,1,0,1,1,0,0.484,10,11,Sonny Gray,R,28,28
34,34,2025-05-04 (1),@,STL,L,5,6,9,44,35,5,10,3,0,0,5,1,0,8,7,0.251,0.331,0.422,0.753,13,1,0,0,1,0,0,0.345,12,12,Erick Fedde,R,42,21
35,35,2025-05-04 (2),@,STL,L,4,5,9,41,35,4,10,0,0,0,4,2,0,5,6,0.252,0.333,0.418,0.751,10,2,1,0,0,0,0,0.345,10,10,Andre Pallante,R,23,16
36,36,5/5/2025,@,ARI,W,5,4,9,38,30,5,8,2,1,2,5,0,0,5,4,0.253,0.335,0.423,0.758,18,3,2,1,0,0,0,0.25,6,10,Ryne Nelson,R,47,22
37,37,5/6/2025,@,ARI,L,1,5,9,33,29,1,4,0,0,0,1,0,0,4,8,0.25,0.333,0.416,0.749,4,2,0,0,0,0,0,0.19,5,9,Zac Gallen,R,72,6
38,38,5/7/2025,@,ARI,W,7,1,9,39,35,7,8,4,1,2,7,3,0,3,8,0.249,0.331,0.42,0.752,20,0,0,0,1,1,0,0.231,5,10,Merrill Kelly,R,55,26
39,39,5/9/2025,,CHC,W,7,2,9,39,37,7,13,1,0,4,6,3,0,2,8,0.252,0.333,0.428,0.761,26,0,0,0,0,0,0,0.36,8,10,Jameson Taillon,R,25,31
40,40,5/10/2025,,CHC,L,5,6,9,38,34,5,8,0,0,2,5,2,0,2,12,0.252,0.332,0.428,0.76,14,1,1,0,0,0,0,0.3,6,11,Brad Keller,R,55,18
41,41,5/11/2025,,CHC,W,6,2,9,35,33,6,12,1,1,3,6,0,0,0,9,0.255,0.334,0.435,0.768,24,2,2,0,0,0,0,0.429,5,13,Matthew Boyd,L,60,24
42,42,5/12/2025,,PIT,W,4,3,9,39,33,4,10,3,0,0,4,1,0,4,8,0.256,0.335,0.434,0.769,13,2,1,0,1,0,0,0.385,9,10,Paul Skenes,R,59,17
43,43,5/13/2025,,PIT,W,2,1,9,31,29,2,5,1,0,1,2,1,0,2,8,0.254,0.333,0.431,0.764,9,0,0,0,0,0,0,0.2,5,10,Mitch Keller,R,66,12
44,44,5/14/2025,,PIT,L,0,4,9,35,30,0,6,0,0,0,0,0,0,5,6,0.253,0.332,0.427,0.759,6,1,0,0,0,0,0,0.25,8,11,Bailey Falter,L,53,10
45,45,5/16/2025,@,NYY,L,2,6,9,38,32,2,5,3,0,0,2,1,0,6,11,0.251,0.331,0.423,0.754,8,0,0,0,0,0,0,0.238,9,11,Carlos Rodón,L,60,15
46,46,5/17/2025,@,NYY,W,3,2,9,38,29,3,6,2,0,0,3,1,0,6,6,0.25,0.332,0.42,0.752,8,1,1,0,2,0,0,0.24,8,11,Clarke Schmidt,R,58,15
47,47,5/18/2025,@,NYY,L,2,8,9,34,30,2,3,1,0,0,1,0,0,3,11,0.247,0.329,0.415,0.743,4,0,0,1,0,0,0,0.158,5,11,Max Fried,L,64,7
48,48,5/19/2025,@,BOS,L,1,3,9,34,31,1,8,1,0,0,1,1,0,3,7,0.247,0.329,0.412,0.741,9,3,0,0,0,0,0,0.333,6,10,Hunter Dobbins,R,51,10
49,49,5/20/2025,@,BOS,L,0,2,9,34,29,0,4,1,0,0,0,1,1,3,7,0.245,0.328,0.408,0.735,5,1,2,0,0,0,0,0.182,7,9,Walker Buehler,R,59,9
50,50,5/21/2025,@,BOS,W,5,1,9,40,35,5,10,2,0,1,5,3,0,4,7,0.246,0.328,0.408,0.736,15,0,0,0,1,0,0,0.321,8,10,Garrett Crochet,L,58,22
51,51,5/23/2025,,LAD,L,5,7,13,52,42,5,7,0,1,1,5,0,0,7,12,0.244,0.327,0.405,0.732,12,2,1,1,1,0,3,0.2,12,12,Clayton Kershaw,L,56,21
52,52,5/24/2025,,LAD,W,5,2,9,39,32,5,11,2,0,0,5,1,1,5,4,0.246,0.33,0.405,0.735,13,1,2,0,0,0,1,0.393,10,11,Tony Gonsolin,R,38,20
53,53,5/25/2025,,LAD,W,3,1,9,31,30,3,6,1,0,1,3,2,1,0,8,0.245,0.328,0.404,0.732,10,0,1,0,0,1,0,0.238,4,11,Landon Knack,R,61,12
54,54,5/26/2025,,CHW,W,2,1,9,37,30,2,7,2,0,0,2,0,0,4,8,0.245,0.328,0.402,0.73,9,0,1,0,2,0,2,0.292,10,12,Adrian Houser,R,71,16
55,55,5/27/2025,,CHW,W,6,4,9,38,35,6,12,2,0,2,6,0,0,1,6,0.247,0.329,0.406,0.734,20,0,1,0,1,0,0,0.357,8,12,Jonathan Cannon,R,34,22
56,56,5/28/2025,,CHW,L,4,9,9,42,32,4,5,2,0,1,4,0,0,8,14,0.245,0.329,0.404,0.733,10,0,2,0,0,0,0,0.235,11,10,Shane Smith,R,45,20
57,57,5/30/2025,,COL,W,4,2,9,31,31,4,9,2,0,3,4,0,0,0,5,0.246,0.329,0.408,0.737,20,2,0,0,0,0,0,0.261,3,10,Kyle Freeland,L,50,18
58,58,5/31/2025,,COL,W,8,2,9,38,34,8,11,0,1,3,8,2,0,4,7,0.248,0.33,0.412,0.742,22,3,0,0,0,1,0,0.333,6,10,Antonio Senzatela,R,18,25
59,59,6/1/2025,,COL,W,5,3,9,32,29,5,5,1,0,3,5,1,0,2,11,0.246,0.329,0.414,0.743,15,0,1,0,0,0,0,0.133,3,10,Carson Palmquist,L,46,19
60,60,6/2/2025,@,LAD,W,4,3,10,41,37,4,8,3,0,1,4,1,0,3,8,0.246,0.328,0.413,0.741,14,1,1,0,0,0,1,0.25,8,13,Dustin May,R,55,19
61,61,6/3/2025,@,LAD,L,5,6,10,41,38,5,8,2,0,1,5,0,0,3,6,0.245,0.327,0.412,0.739,13,1,0,0,0,0,0,0.226,7,12,Clayton Kershaw,L,35,15
62,62,6/4/2025,@,LAD,W,6,1,9,37,31,6,4,0,0,2,6,1,0,4,7,0.243,0.326,0.41,0.737,10,1,2,0,0,0,0,0.091,4,12,Tony Gonsolin,R,54,16
63,63,6/5/2025,@,LAD,L,5,6,9,45,36,5,11,1,0,3,5,2,0,7,7,0.245,0.328,0.413,0.741,21,0,1,0,1,0,1,0.296,13,10,Landon Knack,R,32,32
64,64,6/6/2025,@,COL,W,4,2,9,43,37,4,10,3,0,0,4,0,0,5,10,0.245,0.329,0.412,0.741,13,0,1,0,0,0,0,0.37,12,11,Ryan Rolison,L,52,19
65,65,6/7/2025,@,COL,W,8,1,9,42,38,8,12,1,0,3,8,3,0,2,5,0.246,0.329,0.415,0.745,22,2,1,0,1,1,0,0.29,7,12,Germán Márquez,R,38,26
66,66,6/8/2025,@,COL,W,13,5,9,49,43,13,17,2,0,6,13,2,0,6,10,0.249,0.332,0.424,0.756,37,1,0,0,0,0,0,0.407,9,10,Chase Dollander,R,25,44
67,67,6/10/2025,,WSN,W,5,4,10,35,34,5,8,2,0,1,5,1,0,1,9,0.249,0.331,0.423,0.754,13,0,0,0,0,0,0,0.292,4,11,MacKenzie Gore,L,60,15
68,68,6/11/2025,,WSN,W,5,0,9,36,30,5,7,2,0,3,5,1,0,4,5,0.249,0.331,0.426,0.757,18,1,2,0,0,0,0,0.182,7,11,Jake Irvin,R,42,24
69,69,6/12/2025,,WSN,W,4,3,9,36,30,4,7,2,0,2,4,2,1,5,6,0.248,0.332,0.427,0.758,15,1,1,0,0,1,0,0.227,8,10,Michael Soroka,R,47,21
70,70,6/13/2025,,TBR,L,5,7,9,44,36,5,7,1,0,0,5,0,0,7,13,0.248,0.332,0.423,0.755,8,1,1,0,0,3,0,0.304,12,11,Taj Bradley,R,45,15
71,71,6/14/2025,,TBR,L,4,8,9,37,36,4,11,1,0,2,4,0,0,1,5,0.249,0.332,0.425,0.756,18,2,0,0,0,0,0,0.31,6,9,Drew Rasmussen,R,39,17
72,72,6/15/2025,,TBR,L,0,9,9,39,31,0,5,0,0,0,0,1,0,7,8,0.247,0.332,0.421,0.753,5,1,1,0,0,0,0,0.217,12,11,Shane Baz,R,70,13
73,73,6/17/2025,@,ATL,L,4,5,10,35,33,4,7,1,0,2,4,0,1,2,11,0.247,0.331,0.421,0.752,14,0,0,0,0,0,0,0.25,2,10,Spencer Schwellenbach,R,55,15
74,74,6/18/2025,@,ATL,L,0,5,9,33,32,0,5,0,0,0,0,0,0,1,7,0.246,0.329,0.418,0.747,5,0,0,0,0,0,0,0.2,6,9,Chris Sale,L,80,6
75,75,6/19/2025,@,ATL,L,1,7,9,34,33,1,6,2,0,0,1,2,0,1,13,0.245,0.328,0.416,0.743,8,0,0,0,0,0,0,0.3,6,9,Spencer Strider,R,65,11
76,76,6/20/2025,@,PHI,L,2,10,9,36,33,2,7,1,0,2,2,0,0,3,10,0.244,0.327,0.416,0.743,14,1,0,0,0,0,0,0.238,7,9,Zack Wheeler,R,64,16
77,77,6/21/2025,@,PHI,W,11,4,9,45,42,11,15,1,0,7,11,0,0,3,6,0.246,0.328,0.423,0.751,37,0,0,0,0,0,0,0.276,7,11,Mick Abel,R,32,40
78,78,6/22/2025,@,PHI,L,1,7,9,32,31,1,4,0,0,1,1,0,0,1,9,0.245,0.326,0.421,0.747,7,0,0,0,0,0,0,0.143,4,11,Jesús Luzardo,L,74,8
79,79,6/23/2025,,ATL,L,2,3,9,33,32,2,6,0,0,1,2,0,0,1,6,0.244,0.325,0.419,0.744,9,1,0,0,0,0,0,0.2,4,9,Spencer Schwellenbach,R,64,9
80,80,6/24/2025,,ATL,L,4,7,9,37,31,4,5,2,0,0,4,1,0,5,14,0.243,0.324,0.417,0.741,7,0,0,0,1,0,0,0.278,6,10,Spencer Strider,R,55,13
81,81,6/25/2025,,ATL,W,7,3,9,37,34,7,13,1,0,3,7,0,0,0,6,0.245,0.325,0.42,0.745,23,1,1,0,2,0,0,0.37,6,10,Didier Fuentes,R,21,23
